OG_id	D_melanogaster_all	D_melanogaster_gene	D_melanogaster_protein	D_yakuba_all	D_yakuba_gene	D_yakuba_protein	ML dN	ML dS	ML omega
297	FBgn0045035	FBgn0045035	FBpp0110174	FBgn0243425	FBgn0243425	FBpp0364072	0.0317	0.3194	0.0992
300	FBgn0267001	FBgn0267001	FBpp0311958	FBgn0234018	FBgn0234018	FBpp0356051	0.0081	0.2914	0.0278
311	FBgn0260442	FBgn0260442	FBpp0293740	FBgn0238053	FBgn0238053	FBpp0357926	0.0052	0.233	0.0223
312	FBgn0266098	FBgn0266098	FBpp0310999	FBgn0233916	FBgn0233916	FBpp0355324	0.0216	0.2109	0.1024
315	FBgn0032208	FBgn0032208	FBpp0079663	FBgn0243230	FBgn0243230	FBpp0361833	0.0114	0.2743	0.0416
322	FBgn0023479	FBgn0023479	FBpp0311236	FBgn0238098	FBgn0238098	FBpp0361999	0.0654	0.3287	0.199
323	FBgn0266756	FBgn0266756	FBpp0306407	FBgn0243451	FBgn0243451	FBpp0363023	0.0183	0.1984	0.0922
327	FBgn0263110	FBgn0263110	FBpp0298310	FBgn0238682	FBgn0238682	FBpp0354575	0.0067	0.2399	0.0279
328	FBgn0004647	FBgn0004647	FBpp0070483	FBgn0068119	FBgn0068119	FBpp0261305	0.0071	0.5227	0.0136
336	FBgn0014141	FBgn0014141	FBpp0308015	FBgn0243148	FBgn0243148	FBpp0357238	0.003	0.2171	0.0138
337	FBgn0003137	FBgn0003137	FBpp0291051	FBgn0228370	FBgn0228370	FBpp0255522	0.0279	0.2808	0.0994
340	FBgn0264953	FBgn0264953	FBpp0312565	FBgn0236132	FBgn0236132	FBpp0356588	0.0127	0.2391	0.0531
343	FBgn0263705	FBgn0263705	FBpp0302017	FBgn0233460	FBgn0233460	FBpp0360616	0.0079	0.3274	0.0241
348	FBgn0016977	FBgn0016977	FBpp0077781	FBgn0234136	FBgn0234136	FBpp0354322	0.0353	0.2249	0.157
355	FBgn0086690	FBgn0086690	FBpp0297121	FBgn0237309	FBgn0237309	FBpp0364524	0.0266	0.292	0.0911
361	FBgn0003048	FBgn0003048	FBpp0309618	FBgn0233789	FBgn0233789	FBpp0261261	0.0241	0.2419	0.0996
365	FBgn0002431	FBgn0002431	FBpp0308671	FBgn0041642	FBgn0041642	FBpp0269755	0.0172	0.2448	0.0703
375	FBgn0039959	FBgn0039959	FBpp0112471	FBgn0275925	FBgn0275925	FBpp0357434	0.0361	0.3474	0.1039
377	FBgn0250789	FBgn0250789	FBpp0305100	FBgn0238203	FBgn0238203	FBpp0354159	0.001	0.2628	0.0038
386	FBgn0004367	FBgn0004367	FBpp0074047	FBgn0234747	FBgn0234747	FBpp0262280	0.0298	0.298	0.1
390	FBgn0261928	FBgn0261928	FBpp0311381	FBgn0243064	FBgn0243064	FBpp0353076	0.0417	0.2452	0.1701
403	FBgn0038651	FBgn0038651	FBpp0271890	FBgn0242259	FBgn0242259	FBpp0362786	0.0324	0.3078	0.1053
410	FBgn0283427	FBgn0283427	FBpp0307371	FBgn0235641	FBgn0235641	FBpp0359003	0.0053	0.2333	0.0227
414	FBgn0020306	FBgn0020306	FBpp0309691	FBgn0067986	FBgn0067986	FBpp0363158	0.0172	0.24	0.0717
419	FBgn0038816	FBgn0038816	FBpp0306703	FBgn0242739	FBgn0242739	FBpp0363017	0.0212	0.2725	0.0778
421	FBgn0003366	FBgn0003366	FBpp0073249	FBgn0234794	FBgn0234794	FBpp0355625	0.0341	0.3648	0.0935
422	FBgn0040001	FBgn0040001	FBpp0297101	FBgn0276394	FBgn0276394	FBpp0360103	0.0347	0.343	0.1012
427	FBgn0033246	FBgn0033246	FBpp0087947	FBgn0240607	FBgn0240607	FBpp0362880	0.0071	0.271	0.0262
431	FBgn0033688	FBgn0033688	FBpp0087124	FBgn0231142	FBgn0231142	FBpp0258483	0.0013	0.2844	0.0046
434	FBgn0042627	FBgn0042627	FBpp0307370	FBgn0235640	FBgn0235640	FBpp0357976	0.0137	0.2896	0.0473
437	FBgn0015477	FBgn0015477	FBpp0087699	FBgn0239698	FBgn0239698	FBpp0360013	0.0036	0.2535	0.0142
438	FBgn0032683	FBgn0032683	FBpp0289570	FBgn0230452	FBgn0230452	FBpp0361525	0.0168	0.2682	0.0626
446	FBgn0003891	FBgn0003891	FBpp0071508	FBgn0229943	FBgn0229943	FBpp0257188	0.0458	0.2701	0.1696
459	FBgn0034734	FBgn0034734	FBpp0071744	FBgn0231625	FBgn0231625	FBpp0259003	0.0217	0.2958	0.0734
465	FBgn0033504	FBgn0033504	FBpp0307676	FBgn0236699	FBgn0236699	FBpp0362015	0.0178	0.2039	0.0873
466	FBgn0085436	FBgn0085436	FBpp0308486	FBgn0239473	FBgn0239473	FBpp0267257	0.0155	0.2067	0.075
477	FBgn0259685	FBgn0259685	FBpp0293268	FBgn0240650	FBgn0240650	FBpp0354375	0.0075	0.2839	0.0264
482	FBgn0260486	FBgn0260486	FBpp0304510	FBgn0235774	FBgn0235774	FBpp0354186	0.0066	0.3419	0.0193
496	FBgn0003189	FBgn0003189	FBpp0309142	FBgn0234761	FBgn0234761	FBpp0262297	0.0239	0.3293	0.0726
505	FBgn0085412	FBgn0085412	FBpp0302933	FBgn0243325	FBgn0243325	FBpp0353488	0.0125	0.2378	0.0526
512	FBgn0002926	FBgn0002926	FBpp0076693	FBgn0237793	FBgn0237793	FBpp0265488	0.0367	0.3107	0.1181
517	FBgn0000317	FBgn0000317	FBpp0080282	FBgn0236761	FBgn0236761	FBpp0264428	0.0012	0.2646	0.0045
520	FBgn0000541	FBgn0000541	FBpp0304412	FBgn0238316	FBgn0238316	FBpp0364658	0.0215	0.2495	0.0862
522	FBgn0264326	FBgn0264326	FBpp0083800	FBgn0228233	FBgn0228233	FBpp0255376	0.0062	0.4816	0.0129
523	FBgn0034975	FBgn0034975	FBpp0309997	FBgn0231987	FBgn0231987	FBpp0259389	0.0288	0.2859	0.1007
526	FBgn0250788	FBgn0250788	FBpp0306507	FBgn0235124	FBgn0235124	FBpp0355719	0.0011	0.2001	0.0055
532	FBgn0039016	FBgn0039016	FBpp0083717	FBgn0241151	FBgn0241151	FBpp0269019	0.0231	0.309	0.0748
533	FBgn0038344	FBgn0038344	FBpp0082601	FBgn0241440	FBgn0241440	FBpp0269327	0.0234	0.3009	0.0778
539	FBgn0043884	FBgn0043884	FBpp0293580	FBgn0240644	FBgn0240644	FBpp0363558	0.0218	0.2158	0.101
540	FBgn0263873	FBgn0263873	FBpp0302887	FBgn0230972	FBgn0230972	FBpp0354067	0.0109	0.2638	0.0413
541	FBgn0262719	FBgn0262719	FBpp0300832	FBgn0238570	FBgn0238570	FBpp0356840	0.0083	0.2908	0.0285
542	FBgn0024277	FBgn0024277	FBpp0072539	FBgn0238271	FBgn0238271	FBpp0364490	0.0032	0.1986	0.0161
549	FBgn0000464	FBgn0000464	FBpp0303681	FBgn0230963	FBgn0230963	FBpp0357104	0.0018	0.2303	0.0078
552	FBgn0025726	FBgn0025726	FBpp0300963	FBgn0232103	FBgn0232103	FBpp0363688	0.0728	0.2805	0.2595
553	FBgn0264488	FBgn0264488	FBpp0305040	FBgn0239112	FBgn0239112	FBpp0266880	0.0785	0.3354	0.234
555	FBgn0031857	FBgn0031857	FBpp0303658	FBgn0235822	FBgn0235822	FBpp0363233	0.0555	0.2959	0.1876
558	FBgn0263599	FBgn0263599	FBpp0075282	FBgn0237136;FBgn0240330	FBgn0237136	FBpp0264813	0.0037	0.2348	0.0158
562	FBgn0267350	FBgn0267350	FBpp0303977	FBgn0233804	FBgn0233804	FBpp0261277	0.0067	0.4652	0.0144
563	FBgn0250907	FBgn0250907	FBpp0303592	FBgn0234732	FBgn0234732	FBpp0354739	0.0741	0.3133	0.2365
566	FBgn0034964	FBgn0034964	FBpp0072077	FBgn0231975	FBgn0231975	FBpp0259374	0.0097	0.3462	0.028
568	FBgn0029899	FBgn0029899	FBpp0070922	FBgn0234264	FBgn0234264	FBpp0261781	0.1609	0.3468	0.464
571	FBgn0004650	FBgn0004650	FBpp0070200	FBgn0234174	FBgn0234174	FBpp0362754	0.0638	0.2627	0.2429
581	FBgn0003415	FBgn0003415	FBpp0111743	FBgn0239587	FBgn0239587	FBpp0356854	0.0156	0.1869	0.0835
589	FBgn0262614	FBgn0262614	FBpp0301889	FBgn0241914	FBgn0241914	FBpp0269823	0.0533	0.3417	0.156
593	FBgn0037541	FBgn0037541	FBpp0307217	FBgn0242806	FBgn0242806	FBpp0362151	0.0102	0.2418	0.0422
594	FBgn0036663	FBgn0036663	FBpp0305785	FBgn0239416	FBgn0239416	FBpp0364159	0.0051	0.2195	0.0232
598	FBgn0025740	FBgn0025740	FBpp0300616	FBgn0232132	FBgn0232132	FBpp0259542	0.0226	0.3028	0.0746
601	FBgn0267430	FBgn0267430	FBpp0401450	FBgn0276386	FBgn0276386	FBpp0363100	0.0569	0.4401	0.1293
608	FBgn0085446	FBgn0085446	FBpp0307656	FBgn0234249	FBgn0234249	FBpp0364519	0.0262	0.2127	0.1232
610	FBgn0003268	FBgn0003268	FBpp0085156	FBgn0228777	FBgn0228777	FBpp0255957	0.0261	0.2817	0.0927
614	FBgn0261046	FBgn0261046	FBpp0303244	FBgn0242348;FBgn0277362	FBgn0242348	FBpp0363363	0.003	0.1592	0.0188
617	FBgn0264386	FBgn0264386	FBpp0306997	FBgn0234000	FBgn0234000	FBpp0360440	0.0137	0.2248	0.0609
627	FBgn0031216	FBgn0031216	FBpp0077762	FBgn0234075	FBgn0234075	FBpp0359492	0.0087	0.2675	0.0325
632	FBgn0262508	FBgn0262508	FBpp0293353	FBgn0238055	FBgn0238055	FBpp0356107	0.0192	0.2788	0.0689
633	FBgn0004607	FBgn0004607	FBpp0088139	FBgn0232149	FBgn0232149	FBpp0362869	0.0554	0.2534	0.2186
634	FBgn0011722	FBgn0011722	FBpp0309850	FBgn0235862	FBgn0235862	FBpp0263455	0.0232	0.4219	0.055
641	FBgn0037897	FBgn0037897	FBpp0081863	FBgn0243134	FBgn0243134	FBpp0271104	0.0295	0.3363	0.0877
647	FBgn0038439	FBgn0038439	FBpp0290916	FBgn0243185	FBgn0243185	FBpp0271158	0.0103	0.4284	0.024
652	FBgn0033636	FBgn0033636	FBpp0111979	FBgn0231179	FBgn0231179	FBpp0363221	0.0113	0.2032	0.0556
654	FBgn0040299	FBgn0040299	FBpp0079097	FBgn0232186	FBgn0232186	FBpp0352855	0.0204	0.3458	0.059
663	FBgn0025741	FBgn0025741	FBpp0088287	FBgn0232098	FBgn0232098	FBpp0363304	0.0079	0.2912	0.0271
669	FBgn0004391	FBgn0004391	FBpp0073893	FBgn0233597	FBgn0233597	FBpp0261056	0.0412	0.2925	0.1409
676	FBgn0086451	FBgn0086451	FBpp0078971	FBgn0231787	FBgn0231787	FBpp0259175	0.0382	0.3097	0.1233
677	FBgn0262617	FBgn0262617	FBpp0307979	FBgn0243067	FBgn0243067	FBpp0361784	0.0167	0.2417	0.0691
680	FBgn0002905	FBgn0002905	FBpp0082131	FBgn0241605	FBgn0241605	FBpp0269501	0.0953	0.3635	0.2622
686	FBgn0031292	FBgn0031292	FBpp0311698	FBgn0233407	FBgn0233407	FBpp0260853	0.049	0.6307	0.0777
687	FBgn0031374	FBgn0031374	FBpp0305221	FBgn0235225	FBgn0235225	FBpp0356407	0.0097	0.2085	0.0465
690	FBgn0264598	FBgn0264598	FBpp0305709	FBgn0234438	FBgn0234438	FBpp0355548	0.0288	0.262	0.1099
692	FBgn0263219	FBgn0263219	FBpp0305767	FBgn0238026	FBgn0238026	FBpp0357253	0.0005	0.1688	0.003
696	FBgn0038968	FBgn0038968	FBpp0083688	FBgn0241177	FBgn0241177	FBpp0269048	0.038	0.2807	0.1354
699	FBgn0002891	FBgn0002891	FBpp0087907	FBgn0236509	FBgn0236509	FBpp0352647	0.0548	0.3655	0.1499
701	FBgn0025802	FBgn0025802	FBpp0082003	FBgn0227966	FBgn0227966	FBpp0255094	0.0064	0.2432	0.0263
703	FBgn0028675	FBgn0028675	FBpp0402894	FBgn0243421	FBgn0243421	FBpp0364120	0.0316	0.2639	0.1197
710	FBgn0266083	FBgn0266083	FBpp0292795	FBgn0231996	FBgn0231996	FBpp0361379	0.0737	0.3235	0.2278
718	FBgn0010355	FBgn0010355	FBpp0293442	FBgn0241973	FBgn0241973	FBpp0269886	0.0161	0.3255	0.0495
721	FBgn0264695	FBgn0264695	FBpp0298828	FBgn0068126	FBgn0068126	FBpp0356839	0.0108	0.1323	0.0816
722	FBgn0029834	FBgn0029834	FBpp0293889	FBgn0235031	FBgn0235031	FBpp0262584	0.0017	0.3687	0.0046
729	FBgn0039302	FBgn0039302	FBpp0293235	FBgn0240752	FBgn0240752	FBpp0362928	0.0854	0.2997	0.285
732	FBgn0262870	FBgn0262870	FBpp0305769	FBgn0237903	FBgn0237903	FBpp0357991	0.0127	0.2487	0.0511
734	FBgn0027948	FBgn0027948	FBpp0293341	FBgn0241485	FBgn0241485	FBpp0363951	0.014	0.2469	0.0567
738	FBgn0015589	FBgn0015589	FBpp0307743	FBgn0228351	FBgn0228351	FBpp0255501	0.0166	0.2922	0.0568
746	FBgn0002917	FBgn0002917	FBpp0311138	FBgn0234616	FBgn0234616	FBpp0363416	0.0053	0.2892	0.0183
749	FBgn0083960	FBgn0083960	FBpp0110135	FBgn0229089	FBgn0229089	FBpp0360619	0.0268	0.412	0.065
763	FBgn0015513	FBgn0015513	FBpp0293271	FBgn0228261	FBgn0228261	FBpp0353485	0.01	0.2681	0.0373
767	FBgn0026401	FBgn0026401	FBpp0110411	FBgn0236037	FBgn0236037	FBpp0360306	0.0348	0.3224	0.1079
769	FBgn0001991	FBgn0001991	FBpp0089047	FBgn0238605	FBgn0238605	FBpp0266353	0.0095	0.1935	0.0491
778	FBgn0033698	FBgn0033698	FBpp0087116	FBgn0231135	FBgn0231135	FBpp0258475	0.0229	0.3284	0.0697
785	FBgn0265194	FBgn0265194	FBpp0308223	FBgn0230011	FBgn0230011	FBpp0362244	0.0072	0.2068	0.0348
790	FBgn0023172	FBgn0023172	FBpp0086125	FBgn0229436	FBgn0229436	FBpp0353723	0.0184	0.1948	0.0945
792	FBgn0263289	FBgn0263289	FBpp0300852	FBgn0240837	FBgn0240837	FBpp0354374	0.014	0.1661	0.0843
798	FBgn0085413	FBgn0085413	FBpp0293459	FBgn0242040;FBgn0242041	FBgn0242040	FBpp0354969	0.0107	0.2561	0.0418
799	FBgn0035106	FBgn0035106	FBpp0072431	FBgn0238322	FBgn0238322	FBpp0360039	0.0285	0.1957	0.1456
805	FBgn0083956	FBgn0083956	FBpp0309770	FBgn0235346	FBgn0235346	FBpp0354366	0.0274	0.2848	0.0962
806	FBgn0028899	FBgn0028899	FBpp0300163	FBgn0230543	FBgn0230543	FBpp0357765	0.2165	0.4579	0.4728
807	FBgn0032395	FBgn0032395	FBpp0079896	FBgn0230268	FBgn0230268	FBpp0257543	0.0143	0.3026	0.0473
811	FBgn0044452	FBgn0044452	FBpp0072840	FBgn0084503	FBgn0084503	FBpp0265348	0.0167	0.3561	0.0469
812	FBgn0266111	FBgn0266111	FBpp0087015	FBgn0230181	FBgn0230181	FBpp0356193	0.1265	0.3763	0.3362
819	FBgn0013756	FBgn0013756	FBpp0087140	FBgn0230131	FBgn0230131	FBpp0257395	0.0433	0.2937	0.1474
823	FBgn0266084	FBgn0266084	FBpp0306020	FBgn0238077	FBgn0238077	FBpp0354313	0.0175	0.2601	0.0673
826	FBgn0261800	FBgn0261800	FBpp0079114	FBgn0232226	FBgn0232226	FBpp0259641	0.0125	0.4211	0.0297
827	FBgn0028496	FBgn0028496	FBpp0085899	FBgn0231551	FBgn0231551	FBpp0363575	0.0113	0.3218	0.0351
831	FBgn0033766	FBgn0033766	FBpp0297623	FBgn0231103	FBgn0231103	FBpp0356007	0.038	0.2897	0.1312
833	FBgn0037963	FBgn0037963	FBpp0081987	FBgn0227956	FBgn0227956	FBpp0361684	0.006	0.2903	0.0207
849	FBgn0000247	FBgn0000247	FBpp0312193	FBgn0241037	FBgn0241037	FBpp0353300	0.0183	0.2249	0.0814
854	FBgn0266580	FBgn0266580	FBpp0307249	FBgn0237891	FBgn0237891	FBpp0265593	0.0549	0.3021	0.1817
861	FBgn0032517	FBgn0032517	FBpp0080077	FBgn0236055	FBgn0236055	FBpp0263663	0.0195	0.3645	0.0535
863	FBgn0039466	FBgn0039466	FBpp0290357	FBgn0240861	FBgn0240861	FBpp0364379	0.0129	0.292	0.0442
866	FBgn0260794	FBgn0260794	FBpp0292914	FBgn0242410	FBgn0242410	FBpp0363994	0.0367	0.2326	0.1578
879	FBgn0040232;FBgn0040233	FBgn0040232	FBpp0304511	FBgn0230650;FBgn0235931	FBgn0230650	FBpp0357199	0.1095	0.3365	0.3254
880	FBgn0261397	FBgn0261397	FBpp0088684	FBgn0236489	FBgn0236489	FBpp0264139	0.0105	0.2911	0.0361
882	FBgn0026059	FBgn0026059	FBpp0082685	FBgn0243367	FBgn0243367	FBpp0356306	0.0074	0.213	0.0347
887	FBgn0030809	FBgn0030809	FBpp0312009	FBgn0233199	FBgn0233199	FBpp0355119	0.0504	0.3541	0.1423
897	FBgn0015278	FBgn0015278	FBpp0291030	FBgn0237502	FBgn0237502	FBpp0265190	0.0178	0.2764	0.0644
902	FBgn0034786	FBgn0034786	FBpp0309872	FBgn0229427	FBgn0229427	FBpp0256639	0.0204	0.2829	0.0721
903	FBgn0082831	FBgn0082831	FBpp0293286	FBgn0243226	FBgn0243226	FBpp0357337	0.0491	0.2969	0.1654
908	FBgn0031414	FBgn0031414	FBpp0311004	FBgn0235560	FBgn0235560	FBpp0353895	0.0131	0.2246	0.0583
914	FBgn0267488	FBgn0267488	FBpp0079165	FBgn0229016	FBgn0229016	FBpp0256204	0.0071	0.2949	0.0241
917	FBgn0087007	FBgn0087007	FBpp0271930	FBgn0237346	FBgn0237346	FBpp0354606	0.0273	0.2605	0.1048
918	FBgn0262018	FBgn0262018	FBpp0300935	FBgn0230815	FBgn0230815	FBpp0356847	0.0092	0.2192	0.042
924	FBgn0001324	FBgn0001324	FBpp0074653	FBgn0236966;FBgn0275812;FBgn0276915	FBgn0236966	FBpp0264638	0.0094	0.311	0.0302
931	FBgn0002466	FBgn0002466	FBpp0304889	FBgn0237436	FBgn0237436	FBpp0364039	0.018	0.4279	0.0421
935	FBgn0261053	FBgn0261053	FBpp0293207	FBgn0243094	FBgn0243094	FBpp0353807	0.0079	0.2162	0.0365
941	FBgn0036913	FBgn0036913	FBpp0304458	FBgn0236970	FBgn0236970	FBpp0362660	0.0106	0.2487	0.0426
948	FBgn0038397	FBgn0038397	FBpp0082689	FBgn0243368	FBgn0243368	FBpp0271348	0.0028	0.2582	0.0108
957	FBgn0036715	FBgn0036715	FBpp0075001	FBgn0239386	FBgn0239386	FBpp0267168	0.0117	0.2845	0.0411
963	FBgn0263111	FBgn0263111	FBpp0298326	FBgn0235037	FBgn0235037	FBpp0360234	0.0283	0.1477	0.1916
971	FBgn0034246	FBgn0034246	FBpp0086061	FBgn0084944	FBgn0084944	FBpp0258994	0.1192	0.3485	0.342
978	FBgn0035317	FBgn0035317	FBpp0304907	FBgn0238483	FBgn0238483	FBpp0266218	0.008	0.3601	0.0222
987	FBgn0028741	FBgn0028741	FBpp0088952	FBgn0231597	FBgn0231597	FBpp0353175	0.0395	0.3427	0.1153
1003	FBgn0259246	FBgn0259246	FBpp0293597	FBgn0236634	FBgn0236634	FBpp0356710	0.0031	0.1655	0.0187
1009	FBgn0035168	FBgn0035168	FBpp0304992	FBgn0234140;FBgn0238382	FBgn0234140	FBpp0363042	0.05	0.6892	0.0725
1010	FBgn0264560	FBgn0264560	FBpp0087010	FBgn0230175	FBgn0230175	FBpp0353525	0.019	0.2931	0.0648
1012	FBgn0031052	FBgn0031052	FBpp0074515	FBgn0233424	FBgn0233424	FBpp0357318	0.1191	0.4092	0.2911
