"chrom" "Start" "FBgn"
"X" 1880282 "FBgn0029594"
"X" 1890256 "FBgn0023519"
"X" 1908239 "FBgn0023509"
"X" 1908920 "FBgn0023510"
"X" 1922981 "FBgn0023508"
"X" 1927683 "FBgn0023522"
"X" 1940307 "FBgn0023521"
"X" 2068592 "FBgn0025627"
"X" 2072413 "FBgn0025630"
"X" 2074795 "FBgn0025629"
"X" 2066435 "FBgn0025628"
"X" 2065273 "FBgn0029596"
"X" 2062313 "FBgn0025626"
"X" 2055310 "FBgn0025625"
"X" 2044292 "FBgn0025631"
"X" 2042730 "FBgn0026878"
"X" 2023822 "FBgn0000667"
"X" 2038798 "FBgn0003964"
"X" 2007911 "FBgn0023545"
"X" 1937700 "FBgn0023520"
"X" 1920166 "FBgn0023512"
"X" 1903704 "FBgn0023511"
"X" 1902082 "FBgn0052801"
"X" 1881313 "FBgn0023518"
"X" 1879019 "FBgn0026088"
"X" 1876294 "FBgn0026089"
"X" 1872400 "FBgn0023517"
"X" 1866832 "FBgn0023516"
"X" 1862009 "FBgn0023515"
"X" 1859141 "FBgn0028969"
"X" 1857889 "FBgn0026090"
"X" 1821469 "FBgn0029590"
"X" 2076966 "FBgn0025624"
"X" 2080610 "FBgn0040395"
"X" 2094234 "FBgn0000382"
"X" 2141489 "FBgn0023507"
"X" 2145136 "FBgn0004654"
"X" 2162196 "FBgn0023540"
"X" 2172526 "FBgn0025839"
"X" 2176006 "FBgn0011576"
"X" 2179007 "FBgn0015036"
"X" 2181211 "FBgn0003116"
"X" 2184725 "FBgn0040899"
"X" 2186855 "FBgn0040900"
"X" 2187820 "FBgn0024984"
"X" 2189188 "FBgn0023549"
"X" 2223754 "FBgn0029606"
"X" 2225296 "FBgn0003048"
"X" 2242138 "FBgn0000810"
"X" 2246231 "FBgn0023523"
"X" 2262837 "FBgn0023527"
"X" 2327128 "FBgn0040391"
"X" 2330159 "FBgn0053218"
"X" 2295466 "FBgn0003079"
"X" 2344949 "FBgn0003159"
"X" 2343997 "FBgn0040389"
"X" 2331493 "FBgn0044047"
"X" 2324748 "FBgn0040392"
"X" 2278031 "FBgn0023526"
"X" 2271008 "FBgn0023529"
"X" 2264657 "FBgn0023528"
"X" 2260207 "FBgn0027296"
"X" 2254403 "FBgn0023524"
"X" 2250145 "FBgn0023525"
"X" 2247594 "FBgn0000377"
"X" 2237858 "FBgn0001330"
"X" 2214347 "FBgn0004397"
"X" 2201820 "FBgn0023550"
"X" 2191639 "FBgn0029603"
"X" 2182818 "FBgn0023542"
"X" 2173415 "FBgn0023541"
"X" 2159145 "FBgn0005670"
"X" 2149936 "FBgn0004655"
"X" 2148463 "FBgn0013432"
"X" 2126210 "FBgn0004861"
"X" 2115727 "FBgn0004860"
"X" 2078343 "FBgn0040394"
"X" 2580958 "FBgn0040376"
"X" 2585980 "FBgn0040066"
"X" 2588503 "FBgn0001404"
"X" 2619799 "FBgn0040336"
"X" 2622069 "FBgn0040333"
"X" 2617758 "FBgn0040334"
"X" 2609247 "FBgn0029629"
"X" 2606680 "FBgn0011566"
"X" 2599158 "FBgn0011606"
"X" 2583745 "FBgn0040375"
"X" 2579091 "FBgn0040377"
"X" 2444167 "FBgn0040388"
"X" 2442313 "FBgn0003714"
"X" 2427113 "FBgn0001150"
"X" 2424925 "FBgn0052797"
"X" 2409365 "FBgn0040385"
"X" 2633952 "FBgn0003371"
"X" 2685580 "FBgn0003068"
"X" 2698701 "FBgn0024993"
"X" 2704571 "FBgn0024996"
"X" 2708684 "FBgn0024997"
"X" 2714079 "FBgn0024991"
"X" 2720468 "FBgn0000928"
"X" 2724286 "FBgn0000927"
"X" 2727698 "FBgn0000520"
"X" 2732469 "FBgn0024975"
"X" 2809881 "FBgn0040356"
"X" 2790599 "FBgn0003996"
"X" 2782906 "FBgn0040384"
"X" 2739089 "FBgn0024980"
"X" 2734248 "FBgn0000376"
"X" 2717638 "FBgn0024973"
"X" 2711756 "FBgn0024998"
"X" 2706151 "FBgn0024995"
"X" 2701124 "FBgn0024994"
"X" 2694392 "FBgn0024992"
"X" 2692732 "FBgn0000092"
"X" 2681987 "FBgn0025838"
"X" 2680199 "FBgn0011276"
"X" 3134870 "FBgn0004647"
"X" 3175018 "FBgn0040396"
"X" 3176440 "FBgn0000479"
"X" 3242412 "FBgn0002933"
"X" 3250089 "FBgn0003374"
"X" 3460592 "FBgn0029660"
"X" 3465737 "FBgn0029662"
"X" 3462474 "FBgn0029661"
"X" 3459016 "FBgn0029659"
"X" 3434943 "FBgn0029658"
"X" 3427452 "FBgn0052493"
"X" 3387944 "FBgn0029657"
"X" 3314744 "FBgn0029656"
"X" 3248600 "FBgn0003086"
"X" 3243954 "FBgn0010296"
"X" 3241491 "FBgn0010295"
"X" 3240026 "FBgn0010294"
"X" 3236130 "FBgn0040393"
"X" 3173376 "FBgn0000644"
"X" 3172268 "FBgn0028746"
"X" 2890768 "FBgn0040355"
"X" 2929796 "FBgn0052793"
"X" 2935127 "FBgn0029642"
"X" 2937027 "FBgn0025645"
"X" 2938856 "FBgn0029643"
"X" 2941408 "FBgn0029644"
"X" 2943386 "FBgn0029645"
"X" 2945403 "FBgn0029646"
"X" 2947094 "FBgn0029647"
"X" 2948034 "FBgn0029648"
"X" 2740384 "FBgn0028369"
"X" 3066615 "FBgn0029649"
"X" 2950399 "FBgn0003285"
"X" 2925884 "FBgn0025644"
"X" 2885186 "FBgn0029639"
"X" 2882226 "FBgn0040354"
"X" 2875428 "FBgn0040353"
"X" 2871884 "FBgn0040352"
"X" 3482965 "FBgn0029664"
"X" 3485650 "FBgn0029666"
"X" 3514316 "FBgn0029669"
"X" 3557812 "FBgn0052792"
"X" 3667621 "FBgn0044046"
"X" 3671801 "FBgn0023215"
"X" 3704610 "FBgn0015286"
"X" 3668837 "FBgn0023216"
"X" 3571456 "FBgn0029672"
"X" 3507245 "FBgn0052791"
"X" 3491011 "FBgn0029667"
"X" 3484605 "FBgn0029665"
"X" 3476463 "FBgn0029663"
"X" 3819699 "FBgn0052785"
"X" 3827622 "FBgn0025118"
"X" 3868973 "FBgn0028491"
"X" 3884168 "FBgn0029681"
"X" 3936517 "FBgn0029686"
"X" 3940847 "FBgn0052786"
"X" 3945043 "FBgn0052783"
"X" 3948975 "FBgn0029687"
"X" 3968788 "FBgn0029690"
"X" 3965435 "FBgn0029689"
"X" 3955543 "FBgn0029688"
"X" 3932000 "FBgn0029685"
"X" 3857230 "FBgn0019661"
"X" 4101318 "FBgn0029694"
"X" 4104342 "FBgn0000221"
"X" 4106113 "FBgn0026084"
"X" 4113701 "FBgn0026085"
"X" 4117020 "FBgn0026083"
"X" 4131211 "FBgn0066114"
"X" 4218170 "FBgn0029697"
"X" 4266097 "FBgn0029701"
"X" 4268701 "FBgn0029702"
"X" 4366417 "FBgn0029706"
"X" 4380758 "FBgn0029707"
"X" 4327080 "FBgn0029705"
"X" 4321764 "FBgn0040907"
"X" 4314230 "FBgn0002707"
"X" 4311279 "FBgn0040906"
"X" 4300117 "FBgn0029703"
"X" 4277547 "FBgn0040905"
"X" 4276493 "FBgn0040904"
"X" 4251870 "FBgn0029700"
"X" 4244095 "FBgn0052774"
"X" 4241887 "FBgn0041252"
"X" 4216873 "FBgn0029696"
"X" 4132887 "FBgn0000635"
"X" 4114800 "FBgn0026080"
"X" 4111156 "FBgn0026079"
"X" 4102955 "FBgn0004832"
"X" 4097592 "FBgn0029693"
"X" 4412856 "FBgn0000179"
"X" 4530231 "FBgn0029708"
"X" 4540908 "FBgn0029709"
"X" 4542630 "FBgn0029710"
"X" 4549070 "FBgn0029712"
"X" 4551973 "FBgn0029714"
"X" 4558072 "FBgn0029716"
"X" 4679988 "FBgn0022768"
"X" 4553117 "FBgn0029715"
"X" 4549883 "FBgn0029713"
"X" 4544617 "FBgn0029711"
"X" 4535635 "FBgn0003210"
"X" 4387676 "FBgn0052773"
"X" 4687800 "FBgn0011760"
"X" 4702284 "FBgn0028325"
"X" 4705309 "FBgn0029722"
"X" 4784075 "FBgn0029727"
"X" 4825974 "FBgn0029729"
"X" 4875670 "FBgn0029730"
"X" 4906900 "FBgn0029733"
"X" 4909102 "FBgn0052772"
"X" 4918730 "FBgn0029737"
"X" 4939128 "FBgn0004368"
"X" 4997441 "FBgn0029740"
"X" 4959929 "FBgn0061196"
"X" 4797231 "FBgn0029728"
"X" 4782201 "FBgn0029726"
"X" 4775984 "FBgn0029725"
"X" 4770557 "FBgn0025679"
"X" 4768727 "FBgn0029724"
"X" 5131898 "FBgn0029745"
"X" 5085759 "FBgn0029746"
"X" 5309242 "FBgn0003449"
"X" 5312171 "FBgn0011761"
"X" 5313258 "FBgn0029753"
"X" 5317409 "FBgn0029755"
"X" 5318928 "FBgn0014024"
"X" 5315130 "FBgn0029754"
"X" 5310581 "FBgn0029752"
"X" 5306261 "FBgn0029751"
"X" 5302988 "FBgn0029750"
"X" 5180182 "FBgn0029747"
"X" 5071027 "FBgn0052767"
"X" 5329876 "FBgn0026751"
"X" 5332499 "FBgn0010014"
"X" 5340236 "FBgn0029761"
"X" 5421533 "FBgn0029763"
"X" 5427517 "FBgn0029765"
"X" 5429571 "FBgn0029766"
"X" 5446656 "FBgn0029768"
"X" 5501476 "FBgn0029770"
"X" 5516608 "FBgn0029771"
"X" 5622648 "FBgn0026702"
"X" 5619136 "FBgn0004687"
"X" 5616572 "FBgn0029778"
"X" 5500208 "FBgn0052762"
"X" 5493014 "FBgn0029769"
"X" 5405238 "FBgn0029762"
"X" 5326675 "FBgn0029756"
"X" 5666052 "FBgn0028474"
"X" 5672401 "FBgn0029785"
"X" 5680617 "FBgn0003747"
"X" 5690002 "FBgn0000394"
"X" 5698557 "FBgn0029791"
"X" 5732740 "FBgn0029795"
"X" 5747747 "FBgn0029798"
"X" 5752249 "FBgn0029799"
"X" 5755574 "FBgn0029801"
"X" 5789487 "FBgn0029809"
"X" 5792140 "FBgn0029810"
"X" 5804677 "FBgn0029811"
"X" 5808954 "FBgn0029812"
"X" 5818559 "FBgn0029814"
"X" 5832298 "FBgn0052761"
"X" 5845280 "FBgn0029816"
"X" 5869095 "FBgn0029817"
"X" 5879869 "FBgn0029820"
"X" 5905746 "FBgn0029821"
"X" 5908135 "FBgn0029822"
"X" 5913067 "FBgn0029823"
"X" 5877000 "FBgn0029819"
"X" 5873840 "FBgn0014340"
"X" 5870841 "FBgn0029818"
"X" 5814864 "FBgn0029813"
"X" 5777195 "FBgn0029807"
"X" 5765855 "FBgn0029804"
"X" 5759908 "FBgn0013987"
"X" 5753390 "FBgn0029800"
"X" 5738663 "FBgn0261383"
"X" 5719374 "FBgn0052758"
"X" 5708559 "FBgn0053080"
"X" 5692945 "FBgn0027564"
"X" 5685253 "FBgn0029789"
"X" 5673830 "FBgn0046687"
"X" 5670827 "FBgn0015794"
"X" 5664628 "FBgn0029783"
"X" 5917097 "FBgn0029824"
"X" 5942606 "FBgn0029825"
"X" 5945682 "FBgn0052756"
"X" 5948160 "FBgn0029826"
"X" 5950251 "FBgn0052755"
"X" 5952565 "FBgn0029827"
"X" 5955629 "FBgn0029828"
"X" 5966279 "FBgn0029830"
"X" 5988791 "FBgn0029831"
"X" 6037892 "FBgn0029833"
"X" 6040005 "FBgn0029834"
"X" 6050828 "FBgn0029835"
"X" 6091205 "FBgn0029843"
"X" 6219957 "FBgn0029849"
"X" 6223061 "FBgn0003514"
"X" 6217268 "FBgn0029848"
"X" 6200188 "FBgn0040069"
"X" 6196580 "FBgn0052751"
"X" 6194737 "FBgn0052750"
"X" 6082709 "FBgn0026060"
"X" 6082634 "FBgn0029840"
"X" 6078708 "FBgn0029839"
"X" 6076072 "FBgn0029838"
"X" 6069131 "FBgn0029837"
"X" 6035753 "FBgn0003302"
"X" 6008183 "FBgn0029003"
"X" 5997508 "FBgn0027546"
"X" 5958207 "FBgn0005390"
"X" 6237315 "FBgn0029851"
"X" 6255822 "FBgn0015818"
"X" 6261169 "FBgn0029853"
"X" 6267797 "FBgn0028982"
"X" 6288100 "FBgn0029857"
"X" 6291303 "FBgn0029858"
"X" 6295389 "FBgn0029861"
"X" 6303975 "FBgn0029863"
"X" 6309212 "FBgn0029864"
"X" 6337762 "FBgn0029866"
"X" 6347103 "FBgn0029867"
"X" 6516974 "FBgn0052748"
"X" 6524464 "FBgn0029873"
"X" 6528948 "FBgn0014031"
"X" 6533999 "FBgn0000524"
"X" 6530897 "FBgn0014026"
"X" 6526106 "FBgn0029874"
"X" 6371065 "FBgn0003139"
"X" 6363418 "FBgn0003655"
"X" 6361496 "FBgn0016974"
"X" 6349016 "FBgn0029868"
"X" 6299054 "FBgn0043796"
"X" 6289470 "FBgn0028685"
"X" 6284138 "FBgn0026015"
"2L" 825969 "FBgn0010583"
"2L" 852768 "FBgn0020545"
"2L" 855337 "FBgn0031288"
"2L" 860197 "FBgn0031289"
"2L" 877302 "FBgn0002936"
"2L" 898500 "FBgn0002563"
"2L" 914086 "FBgn0046113"
"2L" 901491 "FBgn0003916"
"2L" 877172 "FBgn0031292"
"2L" 868673 "FBgn0020305"
"2L" 861849 "FBgn0029095"
"2L" 851251 "FBgn0031287"
"2L" 833584 "FBgn0020304"
"2L" 824329 "FBgn0031286"
"2L" 818079 "FBgn0031284"
"2L" 816994 "FBgn0031283"
"2L" 813314 "FBgn0031281"
"2L" 786153 "FBgn0000442"
"2L" 737212 "FBgn0026438"
"2L" 620298 "FBgn0040106"
"2L" 305935 "FBgn0004611"
"2L" 322101 "FBgn0053127"
"2L" 378112 "FBgn0000061"
"2L" 404285 "FBgn0003278"
"2L" 419952 "FBgn0002593"
"2L" 421771 "FBgn0031254"
"2L" 422873 "FBgn0031255"
"2L" 431227 "FBgn0004583"
"2L" 453108 "FBgn0031256"
"2L" 455531 "FBgn0031257"
"2L" 473013 "FBgn0027592"
"2L" 476220 "FBgn0003963"
"2L" 559612 "FBgn0031263"
"2L" 564163 "FBgn0031265"
"2L" 568340 "FBgn0031266"
"2L" 574291 "FBgn0031268"
"2L" 577486 "FBgn0023489"
"2L" 583540 "FBgn0010323"
"2L" 575711 "FBgn0013323"
"2L" 573033 "FBgn0031267"
"2L" 566366 "FBgn0021874"
"2L" 560568 "FBgn0031264"
"2L" 544925 "FBgn0005660"
"2L" 542786 "FBgn0031260"
"2L" 540599 "FBgn0010602"
"2L" 476446 "FBgn0043364"
"2L" 458876 "FBgn0031258"
"2L" 448254 "FBgn0015924"
"2L" 420895 "FBgn0031253"
"2L" 418434 "FBgn0031252"
"2L" 396595 "FBgn0031251"
"2L" 355565 "FBgn0031250"
"2L" 329910 "FBgn0051921"
"2L" 320279 "FBgn0031249"
"2L" 318362 "FBgn0031248"
"2L" 66482 "FBgn0067779"
"2L" 71757 "FBgn0031213"
"2L" 76348 "FBgn0031214"
"2L" 94739 "FBgn0031216"
"2L" 102380 "FBgn0031217"
"2L" 132077 "FBgn0001142"
"2L" 143323 "FBgn0031224"
"2L" 114726 "FBgn0031228"
"2L" 156029 "FBgn0031229"
"2L" 203779 "FBgn0031231"
"2L" 207179 "FBgn0031233"
"2L" 232487 "FBgn0031235"
"2L" 269088 "FBgn0031240"
"2L" 277582 "FBgn0003444"
"2L" 292419 "FBgn0031247"
"2L" 295122 "FBgn0024352"
"2L" 297880 "FBgn0020622"
"2L" 292959 "FBgn0017457"
"2L" 287252 "FBgn0025686"
"2L" 283385 "FBgn0031245"
"2L" 281670 "FBgn0031244"
"2L" 252589 "FBgn0031238"
"2L" 259949 "FBgn0031239"
"2L" 204743 "FBgn0031232"
"2L" 153539 "FBgn0031227"
"2L" 141077 "FBgn0051974"
"2L" 138384 "FBgn0051975"
"2L" 138384 "FBgn0051976"
"2L" 115365 "FBgn0031219"
"2L" 103962 "FBgn0026787"
"2L" 82421 "FBgn0002931"
"2L" 25402 "FBgn0051973"
"2L" 21823 "FBgn0031209"
"2L" 9839 "FBgn0002121"
"3L" 20342634 "FBgn0036970"
"3L" 20348355 "FBgn0036974"
"3L" 20353449 "FBgn0036975"
"3L" 20356807 "FBgn0024887"
"3L" 20358512 "FBgn0036977"
"3L" 20367198 "FBgn0001259"
"3L" 20370313 "FBgn0036979"
"3L" 20376242 "FBgn0036980"
"3L" 20413604 "FBgn0036985"
"3L" 20436250 "FBgn0036991"
"3L" 20442419 "FBgn0036993"
"3L" 20460683 "FBgn0036996"
"3L" 20466944 "FBgn0036997"
"3L" 20473783 "FBgn0036998"
"3L" 20474466 "FBgn0036999"
"3L" 20492082 "FBgn0037001"
"3L" 20497323 "FBgn0052425"
"3L" 20499836 "FBgn0037003"
"3L" 20504186 "FBgn0037004"
"3L" 20506032 "FBgn0037005"
"3L" 20521009 "FBgn0037009"
"3L" 20526576 "FBgn0037011"
"3L" 20533709 "FBgn0037013"
"3L" 20597141 "FBgn0001323"
"3L" 20527972 "FBgn0037012"
"3L" 20522440 "FBgn0037010"
"3L" 20519590 "FBgn0037008"
"3L" 20514598 "FBgn0037007"
"3L" 20484293 "FBgn0037000"
"3L" 20469674 "FBgn0052428"
"3L" 20454690 "FBgn0036995"
"3L" 20450532 "FBgn0036994"
"3L" 20438166 "FBgn0036992"
"3L" 20435110 "FBgn0036990"
"3L" 20430605 "FBgn0029158"
"3L" 20427962 "FBgn0036988"
"3L" 20426199 "FBgn0036987"
"3L" 20424424 "FBgn0036986"
"3L" 20407103 "FBgn0036984"
"3L" 20396288 "FBgn0028978"
"3L" 20382405 "FBgn0027565"
"3L" 20371672 "FBgn0001247"
"3L" 20361843 "FBgn0036978"
"3L" 20345736 "FBgn0036973"
"3L" 20637199 "FBgn0037014"
"3L" 20730591 "FBgn0037016"
"3L" 20769586 "FBgn0040634"
"3L" 20771528 "FBgn0016696"
"3L" 20778799 "FBgn0037020"
"3L" 20798645 "FBgn0037024"
"3L" 20800410 "FBgn0037025"
"3L" 20809669 "FBgn0037027"
"3L" 20836182 "FBgn0037030"
"3L" 20837488 "FBgn0040636"
"3L" 20841987 "FBgn0037031"
"3L" 20905795 "FBgn0040637"
"3L" 20927826 "FBgn0037035"
"3L" 20925891 "FBgn0011591"
"3L" 20844332 "FBgn0052432"
"3L" 20839096 "FBgn0027055"
"3L" 20806868 "FBgn0037026"
"3L" 20797241 "FBgn0037023"
"3L" 20788886 "FBgn0027364"
"3L" 20786340 "FBgn0037022"
"3L" 20780350 "FBgn0037021"
"3L" 20776766 "FBgn0037019"
"3L" 20770143 "FBgn0037018"
"3L" 20768207 "FBgn0037017"
"3L" 20737569 "FBgn0045474"
"3L" 20712838 "FBgn0037015"
"3L" 20692330 "FBgn0001320"
"3L" 20956934 "FBgn0037037"
"3L" 20978765 "FBgn0053283"
"3L" 20991673 "FBgn0037042"
"3L" 21027915 "FBgn0037044"
"3L" 21031825 "FBgn0028402"
"3L" 21034535 "FBgn0026179"
"3L" 21123753 "FBgn0053284"
"3L" 21131446 "FBgn0037050"
"3L" 21202920 "FBgn0037057"
"3L" 21210215 "FBgn0037060"
"3L" 21216901 "FBgn0028427"
"3L" 21226609 "FBgn0004865"
"3L" 21215995 "FBgn0037061"
"3L" 21208148 "FBgn0037059"
"3L" 21198261 "FBgn0053056"
"3L" 21197411 "FBgn0053054"
"3L" 21194754 "FBgn0041100"
"3L" 21136447 "FBgn0024150"
"3L" 21133250 "FBgn0037051"
"3L" 21075581 "FBgn0020294"
"3L" 21088223 "FBgn0053285"
"3L" 21030280 "FBgn0037045"
"3L" 20992814 "FBgn0003415"
"3L" 20970812 "FBgn0053286"
"3L" 20966766 "FBgn0053287"
"3L" 20962655 "FBgn0037040"
"3L" 20961537 "FBgn0037039"
"3L" 20960398 "FBgn0037038"
"3L" 20955755 "FBgn0037036"
"3L" 21294492 "FBgn0037068"
"3L" 21300580 "FBgn0037069"
"3L" 21304697 "FBgn0037071"
"3L" 21335215 "FBgn0037073"
"3L" 21344033 "FBgn0052436"
"3L" 21357683 "FBgn0052437"
"3L" 21360179 "FBgn0052440"
"3L" 21427790 "FBgn0053288"
"3L" 21433422 "FBgn0005694"
"3L" 21493083 "FBgn0037087"
"3L" 21501421 "FBgn0037090"
"3L" 21507852 "FBgn0037092"
"3L" 21516306 "FBgn0037093"
"3L" 21523186 "FBgn0037094"
"3L" 21534660 "FBgn0053289"
"3L" 21537000 "FBgn0015283"
"3L" 21539862 "FBgn0028663"
"3L" 21542359 "FBgn0053290"
"3L" 21565426 "FBgn0037101"
"3L" 21569176 "FBgn0052438"
"3L" 21574131 "FBgn0052441"
"3L" 21568059 "FBgn0037102"
"3L" 21555373 "FBgn0037099"
"3L" 21543850 "FBgn0037098"
"3L" 21529959 "FBgn0029152"
"3L" 21512141 "FBgn0026371"
"3L" 21494019 "FBgn0015239"
"3L" 21491399 "FBgn0037086"
"3L" 21484891 "FBgn0037085"
"3L" 21474133 "FBgn0014143"
"3L" 21438628 "FBgn0037082"
"3L" 21420388 "FBgn0037081"
"3L" 21405425 "FBgn0002842"
"3L" 21355100 "FBgn0037078"
"3L" 21344768 "FBgn0037076"
"3L" 21337681 "FBgn0037074"
"3L" 21306138 "FBgn0003042"
"3L" 21301785 "FBgn0037070"
"3L" 21291860 "FBgn0037067"
"3L" 21281752 "FBgn0037065"
"3L" 21280491 "FBgn0027945"
"3L" 21268392 "FBgn0037064"
"3L" 21266680 "FBgn0037063"
"3L" 21617623 "FBgn0037106"
"3L" 21625806 "FBgn0037108"
"3L" 21635305 "FBgn0037110"
"3L" 21636947 "FBgn0043783"
"3L" 21639359 "FBgn0052445"
"3L" 21640995 "FBgn0052446"
"3L" 21672139 "FBgn0037115"
"3L" 21680050 "FBgn0037117"
"3L" 21728932 "FBgn0037121"
"3L" 21734099 "FBgn0037125"
"3L" 21741534 "FBgn0037128"
"3L" 21757157 "FBgn0037131"
"3L" 21769815 "FBgn0037133"
"3L" 21808703 "FBgn0000560"
"3L" 21821997 "FBgn0022936"
"3L" 21823461 "FBgn0037134"
"3L" 21824740 "FBgn0037135"
"3L" 21841808 "FBgn0037139"
"3L" 21836665 "FBgn0037138"
"3L" 21830544 "FBgn0046301"
"3L" 21827774 "FBgn0052448"
"3L" 21745359 "FBgn0037130"
"3L" 21743248 "FBgn0037129"
"3L" 21739479 "FBgn0037127"
"3L" 21737706 "FBgn0037126"
"3L" 21732806 "FBgn0037124"
"3L" 21730725 "FBgn0037123"
"3L" 21729675 "FBgn0037122"
"3L" 21724326 "FBgn0037120"
"3L" 21690612 "FBgn0052447"
"3L" 21674394 "FBgn0037116"
"3L" 21666452 "FBgn0037114"
"3L" 21628325 "FBgn0037109"
"3L" 21620000 "FBgn0037107"
"3L" 21613797 "FBgn0037105"
"3L" 21934704 "FBgn0037140"
"3L" 21942221 "FBgn0037142"
