submitted_id	current_id	converted_id	current_symbol
FBgn0028415	FBgn0028415	FBgn0028415	Met75Cb
FBgn0051758	FBgn0264815	FBgn0264815	Pde1c
FBgn0020509	FBgn0020509	FBgn0020509	Acp62F
FBgn0028944	FBgn0028944	FBgn0028944	Semp1
FBgn0034753	FBgn0034753	FBgn0034753	CG2852
FBgn0083965	FBgn0083965	FBgn0083965	CG34129
FBgn0086712	FBgn0086712	FBgn0086712	Egm
FBgn0002855	FBgn0002855	FBgn0002855	Acp26Aa
FBgn0028988	FBgn0028988	FBgn0028988	Spn42Dd
FBgn0031746	FBgn0031746	FBgn0031746	CG9029
FBgn0011670	FBgn0011670	FBgn0011670	Mst57Dc
FBgn0003885	FBgn0003885	FBgn0003885	alphaTub84D
FBgn0050486	FBgn0050486	FBgn0050486	CG30486
FBgn0054033	FBgn0054033	FBgn0054033	CG34033
FBgn0031691	FBgn0250847	FBgn0250847	CG14034
FBgn0037039	FBgn0037039	FBgn0037039	CG10587
FBgn0034471	FBgn0034471	FBgn0034471	Obp56e
FBgn0036969	FBgn0036969	FBgn0036969	Spn77Bb
FBgn0034435	FBgn0034435	FBgn0034435	fest
FBgn0036837	FBgn0036837	FBgn0036837	CG18135
FBgn0000592	FBgn0000592	FBgn0000592	Est-6
FBgn0036186	FBgn0036186	FBgn0036186	CG6071
FBgn0051419	FBgn0051419	FBgn0051419	CG31419
FBgn0030828	FBgn0030828	FBgn0030828	CG5162
FBgn0034154	FBgn0034154	FBgn0034154	CG5267
FBgn0035216	FBgn0035216	FBgn0035216	CG9168
FBgn0052203	FBgn0052203	FBgn0052203	Spn75F
FBgn0037433	FBgn0037433	FBgn0037433	CG17919
FBgn0026141	FBgn0026141	FBgn0026141	Cdlc2
FBgn0030932	FBgn0030932	FBgn0030932	Ggt-1
FBgn0032868	FBgn0032868	FBgn0032868	CG17472
FBgn0039597	FBgn0039597	FBgn0039597	CG9997
FBgn0052667	FBgn0052667	FBgn0052667	ssp7
FBgn0030623	FBgn0030623	FBgn0030623	PPYR1
FBgn0054051	FBgn0054051	FBgn0054051	CG34051
FBgn0011668	FBgn0011668	FBgn0011668	Mst57Da
FBgn0011694	FBgn0011694	FBgn0011694	EbpII
FBgn0032853	FBgn0032853	FBgn0032853	CG10651
FBgn0034638	FBgn0034638	FBgn0034638	CG10433
FBgn0002856	FBgn0002856	FBgn0002856	Acp26Ab
FBgn0036495	FBgn0036495	FBgn0036495	CG33259
FBgn0034229	FBgn0034229	FBgn0034229	CG4847
FBgn0038014	FBgn0038014	FBgn0038014	CG10041
FBgn0033942	FBgn0033942	FBgn0033942	Cpr51A
FBgn0038918	FBgn0038918	FBgn0038918	Qsox3
FBgn0028986	FBgn0028986	FBgn0028986	Spn38F
FBgn0028987	FBgn0028987	FBgn0028987	Spn28F
FBgn0030362	FBgn0030362	FBgn0030362	regucalcin
FBgn0032843	FBgn0032843	FBgn0032843	CG10730
FBgn0052190	FBgn0052190	FBgn0052190	NUCB1
FBgn0024381	FBgn0250832	FBgn0250832	Dup99B
FBgn0041629	FBgn0041629	FBgn0041629	Hexo2
FBgn0004426	FBgn0004426	FBgn0004426	LysC
FBgn0050395	FBgn0050395	FBgn0050395	CG30395
FBgn0026058	FBgn0026058	FBgn0026058	OdsH
FBgn0033831	FBgn0263774	FBgn0263774	CG43691
FBgn0037441	FBgn0260766	FBgn0260766	CG42564
FBgn0037441	FBgn0260645	FBgn0260645	CG42537
FBgn0002863	FBgn0002863	FBgn0002863	Acp95EF
FBgn0003884	FBgn0003884	FBgn0003884	alphaTub84B
FBgn0036970	FBgn0036970	FBgn0036970	Spn77Bc
FBgn0043825	FBgn0043825	FBgn0043825	CG18284
FBgn0033776	FBgn0250842	FBgn0250842	CG17575
FBgn0051515	FBgn0051515	FBgn0051515	CG31515
FBgn0037036	FBgn0037036	FBgn0037036	Sems
FBgn0030643	FBgn0030643	FBgn0030643	CG15641
