"FBgn" "ML.dN" "ML.dS" "ML.omega"
"FBgn0263110" 0.0067 0.2399 0.0279
"FBgn0004647" 0.0071 0.5227 0.0136
"FBgn0014141" 0.003 0.2171 0.0138
"FBgn0003137" 0.0279 0.2808 0.0994
"FBgn0264953" 0.0127 0.2391 0.0531
"FBgn0263705" 0.0079 0.3274 0.0241
"FBgn0016977" 0.0353 0.2249 0.157
"FBgn0086690" 0.0266 0.292 0.0911
"FBgn0003048" 0.0241 0.2419 0.0996
"FBgn0002431" 0.0172 0.2448 0.0703
"FBgn0039959" 0.0361 0.3474 0.1039
"FBgn0250789" 0.001 0.2628 0.0038
"FBgn0004367" 0.0298 0.298 0.1
"FBgn0261928" 0.0417 0.2452 0.1701
"FBgn0038651" 0.0324 0.3078 0.1053
"FBgn0283427" 0.0053 0.2333 0.0227
"FBgn0020306" 0.0172 0.24 0.0717
"FBgn0038816" 0.0212 0.2725 0.0778
"FBgn0003366" 0.0341 0.3648 0.0935
"FBgn0040001" 0.0347 0.343 0.1012
"FBgn0033246" 0.0071 0.271 0.0262
"FBgn0033688" 0.0013 0.2844 0.0046
"FBgn0042627" 0.0137 0.2896 0.0473
"FBgn0015477" 0.0036 0.2535 0.0142
"FBgn0032683" 0.0168 0.2682 0.0626
"FBgn0003891" 0.0458 0.2701 0.1696
"FBgn0034734" 0.0217 0.2958 0.0734
"FBgn0033504" 0.0178 0.2039 0.0873
"FBgn0085436" 0.0155 0.2067 0.075
"FBgn0259685" 0.0075 0.2839 0.0264
"FBgn0260486" 0.0066 0.3419 0.0193
"FBgn0003189" 0.0239 0.3293 0.0726
"FBgn0085412" 0.0125 0.2378 0.0526
"FBgn0002926" 0.0367 0.3107 0.1181
"FBgn0000317" 0.0012 0.2646 0.0045
"FBgn0000541" 0.0215 0.2495 0.0862
"FBgn0264326" 0.0062 0.4816 0.0129
"FBgn0034975" 0.0288 0.2859 0.1007
"FBgn0250788" 0.0011 0.2001 0.0055
"FBgn0039016" 0.0231 0.309 0.0748
"FBgn0038344" 0.0234 0.3009 0.0778
"FBgn0043884" 0.0218 0.2158 0.101
"FBgn0263873" 0.0109 0.2638 0.0413
"FBgn0262719" 0.0083 0.2908 0.0285
"FBgn0024277" 0.0032 0.1986 0.0161
"FBgn0000464" 0.0018 0.2303 0.0078
"FBgn0025726" 0.0728 0.2805 0.2595
"FBgn0264488" 0.0785 0.3354 0.234
"FBgn0031857" 0.0555 0.2959 0.1876
"FBgn0263599" 0.0037 0.2348 0.0158
"FBgn0267350" 0.0067 0.4652 0.0144
"FBgn0250907" 0.0741 0.3133 0.2365
"FBgn0034964" 0.0097 0.3462 0.028
"FBgn0029899" 0.1609 0.3468 0.464
"FBgn0004650" 0.0638 0.2627 0.2429
"FBgn0003415" 0.0156 0.1869 0.0835
"FBgn0262614" 0.0533 0.3417 0.156
"FBgn0037541" 0.0102 0.2418 0.0422
"FBgn0036663" 0.0051 0.2195 0.0232
"FBgn0025740" 0.0226 0.3028 0.0746
"FBgn0267430" 0.0569 0.4401 0.1293
"FBgn0085446" 0.0262 0.2127 0.1232
"FBgn0003268" 0.0261 0.2817 0.0927
"FBgn0261046" 0.003 0.1592 0.0188
"FBgn0264386" 0.0137 0.2248 0.0609
"FBgn0031216" 0.0087 0.2675 0.0325
"FBgn0262508" 0.0192 0.2788 0.0689
"FBgn0004607" 0.0554 0.2534 0.2186
"FBgn0011722" 0.0232 0.4219 0.055
"FBgn0037897" 0.0295 0.3363 0.0877
"FBgn0038439" 0.0103 0.4284 0.024
"FBgn0033636" 0.0113 0.2032 0.0556
"FBgn0040299" 0.0204 0.3458 0.059
"FBgn0025741" 0.0079 0.2912 0.0271
"FBgn0004391" 0.0412 0.2925 0.1409
"FBgn0086451" 0.0382 0.3097 0.1233
"FBgn0262617" 0.0167 0.2417 0.0691
"FBgn0002905" 0.0953 0.3635 0.2622
"FBgn0031292" 0.049 0.6307 0.0777
"FBgn0031374" 0.0097 0.2085 0.0465
"FBgn0264598" 0.0288 0.262 0.1099
"FBgn0263219" 5e-04 0.1688 0.003
"FBgn0038968" 0.038 0.2807 0.1354
"FBgn0002891" 0.0548 0.3655 0.1499
"FBgn0025802" 0.0064 0.2432 0.0263
"FBgn0028675" 0.0316 0.2639 0.1197
"FBgn0266083" 0.0737 0.3235 0.2278
"FBgn0010355" 0.0161 0.3255 0.0495
"FBgn0264695" 0.0108 0.1323 0.0816
"FBgn0029834" 0.0017 0.3687 0.0046
"FBgn0039302" 0.0854 0.2997 0.285
"FBgn0262870" 0.0127 0.2487 0.0511
"FBgn0027948" 0.014 0.2469 0.0567
"FBgn0015589" 0.0166 0.2922 0.0568
"FBgn0002917" 0.0053 0.2892 0.0183
"FBgn0083960" 0.0268 0.412 0.065
"FBgn0015513" 0.01 0.2681 0.0373
"FBgn0026401" 0.0348 0.3224 0.1079
"FBgn0001991" 0.0095 0.1935 0.0491
"FBgn0033698" 0.0229 0.3284 0.0697
"FBgn0265194" 0.0072 0.2068 0.0348
"FBgn0023172" 0.0184 0.1948 0.0945
"FBgn0263289" 0.014 0.1661 0.0843
"FBgn0085413" 0.0107 0.2561 0.0418
"FBgn0035106" 0.0285 0.1957 0.1456
"FBgn0083956" 0.0274 0.2848 0.0962
"FBgn0028899" 0.2165 0.4579 0.4728
"FBgn0032395" 0.0143 0.3026 0.0473
"FBgn0044452" 0.0167 0.3561 0.0469
"FBgn0266111" 0.1265 0.3763 0.3362
"FBgn0013756" 0.0433 0.2937 0.1474
"FBgn0266084" 0.0175 0.2601 0.0673
"FBgn0261800" 0.0125 0.4211 0.0297
"FBgn0028496" 0.0113 0.3218 0.0351
"FBgn0033766" 0.038 0.2897 0.1312
"FBgn0037963" 0.006 0.2903 0.0207
"FBgn0000247" 0.0183 0.2249 0.0814
"FBgn0266580" 0.0549 0.3021 0.1817
"FBgn0032517" 0.0195 0.3645 0.0535
"FBgn0039466" 0.0129 0.292 0.0442
"FBgn0260794" 0.0367 0.2326 0.1578
"FBgn0040232" 0.1095 0.3365 0.3254
"FBgn0261397" 0.0105 0.2911 0.0361
"FBgn0026059" 0.0074 0.213 0.0347
"FBgn0030809" 0.0504 0.3541 0.1423
"FBgn0015278" 0.0178 0.2764 0.0644
"FBgn0034786" 0.0204 0.2829 0.0721
"FBgn0082831" 0.0491 0.2969 0.1654
"FBgn0031414" 0.0131 0.2246 0.0583
"FBgn0267488" 0.0071 0.2949 0.0241
"FBgn0087007" 0.0273 0.2605 0.1048
"FBgn0262018" 0.0092 0.2192 0.042
"FBgn0001324" 0.0094 0.311 0.0302
"FBgn0002466" 0.018 0.4279 0.0421
"FBgn0261053" 0.0079 0.2162 0.0365
"FBgn0036913" 0.0106 0.2487 0.0426
"FBgn0038397" 0.0028 0.2582 0.0108
"FBgn0036715" 0.0117 0.2845 0.0411
"FBgn0263111" 0.0283 0.1477 0.1916
"FBgn0034246" 0.1192 0.3485 0.342
"FBgn0035317" 0.008 0.3601 0.0222
"FBgn0028741" 0.0395 0.3427 0.1153
"FBgn0259246" 0.0031 0.1655 0.0187
"FBgn0035168" 0.05 0.6892 0.0725
"FBgn0264560" 0.019 0.2931 0.0648
"FBgn0031052" 0.1191 0.4092 0.2911
"FBgn0267348" 0.0096 0.2979 0.0322
"FBgn0022787" 0.0152 0.2575 0.059
"FBgn0003977" 0.0087 0.3086 0.0282
"FBgn0263974" 0.115 0.3773 0.3048
"FBgn0023518" 0.0236 0.226 0.1044
"FBgn0261016" 0.0774 0.2838 0.2727
"FBgn0267431" 0.0822 0.37 0.2222
"FBgn0053547" 0.0126 0.1791 0.0704
"FBgn0265434" 0.0028 0.2415 0.0116
"FBgn0010482" 0.0301 0.2687 0.112
"FBgn0031170" 0.0177 0.2656 0.0666
"FBgn0032821" 0.0147 0.2623 0.056
"FBgn0032010" 0.0185 0.2711 0.0682
"FBgn0011785" 0.0137 0.2536 0.054
"FBgn0024806" 0.0058 0.2176 0.0267
"FBgn0038108" 0.0317 0.2497 0.127
"FBgn0023081" 0.0037 0.2512 0.0147
"FBgn0034618" 0.0097 0.2789 0.0348
"FBgn0036451" 0.0106 0.2728 0.0389
"FBgn0000119" 0.0026 0.2465 0.0105
"FBgn0031985" 0.0041 0.2098 0.0195
"FBgn0005390" 0.0516 0.2869 0.1799
"FBgn0267002" 0.0021 0.2217 0.0095
"FBgn0011747" 0.055 0.2635 0.2087
"FBgn0029688" 0.0405 0.276 0.1467
"FBgn0262517" 0.028 0.2813 0.0995
"FBgn0000319" 5e-04 0.2037 0.0025
"FBgn0000140" 0.0258 0.3312 0.0779
"FBgn0283503" 0.0113 0.2962 0.0381
"FBgn0016920" 0.0015 0.1784 0.0084
"FBgn0038975" 0.0029 0.2094 0.0138
"FBgn0039709" 0.0074 0.401 0.0185
"FBgn0027279" 0.0296 0.3322 0.0891
"FBgn0031785" 0.027 0.5102 0.0529
"FBgn0028538" 0.0045 0.2778 0.0162
"FBgn0041096" 0.0334 0.2887 0.1157
"FBgn0052436" 0.0151 0.3208 0.0471
"FBgn0086901" 0.0128 0.1817 0.0704
"FBgn0040236" 0.0124 0.2828 0.0438
"FBgn0038341" 0.0245 0.3836 0.0639
"FBgn0004598" 0.0221 0.252 0.0877
"FBgn0036398" 0.0275 0.2457 0.1119
"FBgn0035798" 0.0772 0.2898 0.2664
"FBgn0260965" 0.1176 0.3285 0.358
"FBgn0259212" 0.027 0.277 0.0975
"FBgn0031171" 0.0405 0.3449 0.1174
"FBgn0261547" 0.0354 0.2914 0.1215
"FBgn0265002" 0.022 0.2853 0.0771
"FBgn0039120" 0.0309 0.2984 0.1036
"FBgn0266757" 0.0317 0.3709 0.0855
"FBgn0035227" 0.0105 0.3322 0.0316
"FBgn0032797" 0.0063 0.2658 0.0237
"FBgn0003277" 0.0059 0.2566 0.023
"FBgn0040505" 0.0061 0.3136 0.0195
"FBgn0001311" 0.0103 0.3719 0.0277
"FBgn0085444" 0.0398 0.257 0.1549
"FBgn0264894" 0.0279 0.243 0.1148
"FBgn0005386" 0.0213 0.278 0.0766
"FBgn0030486" 0.1065 0.4381 0.2431
"FBgn0031759" 0.0081 0.2777 0.0292
"FBgn0005198" 0.0123 0.2787 0.0441
"FBgn0037025" 0.1216 0.3656 0.3326
"FBgn0036814" 0.0241 0.2255 0.1069
"FBgn0085437" 0.0116 0.262 0.0443
"FBgn0019938" 0.0148 0.3154 0.0469
"FBgn0261802" 0.0787 0.2934 0.2682
"FBgn0036747" 0.0634 0.3697 0.1715
"FBgn0262519" 0.007 0.3205 0.0218
"FBgn0283499" 0.0282 0.2912 0.0968
"FBgn0003301" 0.0083 0.2418 0.0343
"FBgn0005674" 0.0129 0.2805 0.046
"FBgn0032006" 0.0306 0.3377 0.0906
"FBgn0266136" 0.0073 0.2169 0.0337
"FBgn0250786" 0.0159 0.2935 0.0542
"FBgn0263392" 0.0139 0.2102 0.0661
"FBgn0026375" 0.0021 0.2336 0.009
"FBgn0011828" 0.0159 0.2772 0.0574
"FBgn0020440" 0.0114 0.2472 0.0461
"FBgn0030466" 0.0121 0.4108 0.0295
"FBgn0265048" 0.0079 0.3335 0.0237
"FBgn0022710" 0.0109 0.2876 0.0379
"FBgn0036348" 0.029 0.356 0.0815
"FBgn0262160" 0.0231 0.2938 0.0786
"FBgn0019990" 0.0096 0.3133 0.0306
"FBgn0041180" 0.0335 0.3045 0.11
"FBgn0261529" 0.0653 0.3707 0.1762
"FBgn0032456" 0.0078 0.2419 0.0322
"FBgn0010434" 0.0062 0.2118 0.0293
"FBgn0014007" 0.0117 0.2376 0.0492
"FBgn0263864" 0.0761 0.2691 0.2828
"FBgn0016075" 0.0755 0.2624 0.2877
"FBgn0261885" 0.0115 0.1661 0.0692
"FBgn0051004" 0.0091 0.2754 0.033
"FBgn0036985" 0.0407 0.2414 0.1686
"FBgn0025864" 0.0084 0.2741 0.0306
"FBgn0259818" 0.047 0.3431 0.137
"FBgn0032723" 0.0421 0.2711 0.1553
"FBgn0040022" 0.0777 0.2324 0.3343
"FBgn0034060" 0.0265 0.244 0.1086
"FBgn0037989" 0.0179 0.2176 0.0823
"FBgn0031169" 0.0437 0.3079 0.1419
"FBgn0004368" 0.0212 0.3148 0.0673
"FBgn0036454" 0.0075 0.152 0.0493
"FBgn0085443" 0.0205 0.2585 0.0793
"FBgn0039227" 0.0109 0.2868 0.038
"FBgn0032363" 0.0103 0.2796 0.0368
"FBgn0003391" 0.0028 0.3802 0.0074
"FBgn0051755" 0.1418 0.3708 0.3824
"FBgn0039527" 0.0151 0.285 0.053
"FBgn0000299" 0.0614 0.2082 0.2949
"FBgn0053978" 0.0981 0.3336 0.2941
"FBgn0024329" 0.0115 0.2598 0.0443
"FBgn0041181" 0.0113 0.3074 0.0368
"FBgn0010905" 0.012 0.2785 0.0431
"FBgn0261554" 0.0106 0.2202 0.0481
"FBgn0016756" 0.0201 0.2505 0.0802
"FBgn0031869" 0.0149 0.2956 0.0504
"FBgn0003731" 0.0121 0.3315 0.0365
"FBgn0259677" 0.0314 0.2894 0.1085
"FBgn0037344" 0.0636 0.2794 0.2276
"FBgn0263048" 0.0933 0.3454 0.2701
"FBgn0263667" 0.0199 0.2845 0.0699
"FBgn0002938" 0.0071 0.371 0.0191
"FBgn0262579" 0.0096 0.2528 0.038
"FBgn0035237" 0.011 0.2784 0.0395
"FBgn0028539" 0.0567 0.4035 0.1405
"FBgn0260933" 0.0114 0.3682 0.031
"FBgn0036995" 0.0139 0.2669 0.0521
"FBgn0085451" 0.0322 0.2722 0.1183
"FBgn0023510" 0.0026 0.3129 0.0083
"FBgn0035802" 0.0333 0.2118 0.1572
"FBgn0085430" 0.0134 0.2698 0.0497
"FBgn0263131" 0.0153 0.2298 0.0666
"FBgn0036494" 0.0043 0.2857 0.0151
"FBgn0004648" 0.0233 0.428 0.0544
"FBgn0004373" 0.0227 0.2285 0.0993
"FBgn0265597" 0.0069 0.2603 0.0265
"FBgn0028982" 0.0287 0.3957 0.0725
"FBgn0024698" 0.0066 0.2592 0.0255
"FBgn0259233" 0.0322 0.3718 0.0866
"FBgn0262582" 0.0223 0.2117 0.1053
"FBgn0034240" 0.0519 0.2682 0.1935
"FBgn0032685" 0.006 0.241 0.0249
"FBgn0051368" 0.0159 0.2915 0.0545
"FBgn0040290" 0.0396 0.3162 0.1252
"FBgn0030687" 0.0102 0.374 0.0273
"FBgn0261617" 0.0114 0.2369 0.0481
"FBgn0014075" 0.0146 0.2692 0.0542
"FBgn0263973" 0.0232 0.2388 0.0972
"FBgn0261571" 0.1354 0.4266 0.3174
"FBgn0038827" 0.0372 0.3193 0.1165
"FBgn0031077" 0.0519 0.4212 0.1232
"FBgn0032481" 0.0745 0.3312 0.2249
"FBgn0261698" 0.0608 0.2287 0.2659
"FBgn0028647" 0.0487 0.3135 0.1553
"FBgn0020370" 0.0226 0.2728 0.0828
"FBgn0022764" 0.0231 0.2167 0.1066
"FBgn0267796" 0.0285 0.227 0.1256
"FBgn0035145" 0.01 0.2719 0.0368
"FBgn0004197" 0.0071 0.1712 0.0415
"FBgn0262167" 0.0629 0.3262 0.1928
"FBgn0262647" 0.0431 0.2828 0.1524
"FBgn0001965" 0.0084 0.2314 0.0363
"FBgn0263197" 0.0037 0.146 0.0253
"FBgn0265523" 0.0478 0.445 0.1074
"FBgn0285892" 0.1456 0.3187 0.4569
"FBgn0038320" 3e-04 0.2928 0.001
"FBgn0003483" 0.0927 0.319 0.2906
"FBgn0039187" 0.0079 0.2302 0.0343
"FBgn0261261" 0.0152 0.2863 0.0531
"FBgn0004885" 0.012 0.3384 0.0355
"FBgn0039528" 0.009 0.2716 0.0331
"FBgn0034641" 0.0135 0.2819 0.0479
"FBgn0053653" 0.0139 0.2607 0.0533
"FBgn0024189" 0.0068 0.1946 0.0349
"FBgn0261998" 0.1689 0.4052 0.4168
"FBgn0035229" 0.0052 0.2504 0.0208
"FBgn0037142" 0.0232 0.3054 0.076
"FBgn0010473" 0.0055 0.18 0.0306
"FBgn0039904" 0.0479 0.2329 0.2057
"FBgn0259113" 0.0204 0.3337 0.0611
"FBgn0010328" 0.0203 0.275 0.0738
"FBgn0011592" 0.0105 0.3052 0.0344
"FBgn0264449" 0.0162 0.2459 0.0659
"FBgn0032120" 0.0067 0.1883 0.0356
"FBgn0037116" 0.025 0.2622 0.0953
"FBgn0265998" 0.0175 0.2149 0.0814
"FBgn0260789" 0.0694 0.2184 0.3178
"FBgn0034498" 0.0147 0.3104 0.0474
"FBgn0027512" 0.0998 0.3082 0.3238
"FBgn0032018" 0.0156 0.2928 0.0533
"FBgn0260935" 0.0053 0.2846 0.0186
"FBgn0003308" 0.0097 0.3214 0.0302
"FBgn0034085" 0.0645 0.4474 0.1442
"FBgn0050085" 0.0319 0.2966 0.1076
"FBgn0039883" 0.0122 0.2247 0.0543
"FBgn0028500" 0.02 0.2767 0.0723
"FBgn0020503" 0.0583 0.2495 0.2337
"FBgn0261565" 0.0384 0.3356 0.1144
"FBgn0085386" 0.0371 0.2765 0.1342
"FBgn0022153" 0.0132 0.2729 0.0484
"FBgn0021760" 0.0083 0.2611 0.0318
"FBgn0033354" 0.0407 0.3754 0.1084
"FBgn0035001" 0.0107 0.2087 0.0513
"FBgn0260634" 0.0513 0.2511 0.2043
"FBgn0014006" 0.0104 0.3088 0.0337
"FBgn0033212" 0.0153 0.2307 0.0663
"FBgn0037240" 0.0156 0.3206 0.0487
"FBgn0037565" 0.0184 0.2499 0.0736
"FBgn0053556" 0.0137 0.2564 0.0534
"FBgn0038296" 0.0136 0.3037 0.0448
"FBgn0026239" 0.0184 0.2207 0.0834
"FBgn0259110" 0.0112 0.2295 0.0488
"FBgn0039908" 0.0714 0.2584 0.2763
"FBgn0086613" 0.0218 0.2714 0.0803
"FBgn0039644" 0.0079 0.275 0.0287
"FBgn0038679" 0.0217 0.2415 0.0899
"FBgn0034452" 0.0055 0.3455 0.0159
"FBgn0003656" 0.0217 0.3437 0.0631
"FBgn0052226" 0.0125 0.284 0.044
"FBgn0031390" 0.0182 0.3035 0.06
"FBgn0026869" 0.0722 0.249 0.29
"FBgn0010825" 0.0072 0.1524 0.0472
"FBgn0259234" 0.0167 0.183 0.0913
"FBgn0036004" 0.0189 0.2098 0.0901
"FBgn0052681" 0.1578 0.4785 0.3298
"FBgn0051619" 0.0423 0.28 0.1511
"FBgn0026427" 0.1616 0.3023 0.5346
"FBgn0051213" 0.1503 0.3414 0.4402
"FBgn0034795" 0.006 0.3806 0.0158
"FBgn0000052" 0.0192 0.2686 0.0715
"FBgn0003382" 0.0166 0.2413 0.0688
"FBgn0263113" 0.0359 0.3122 0.115
"FBgn0041183" 0.1361 0.3159 0.4308
"FBgn0003175" 0.0158 0.2249 0.0703
"FBgn0026403" 0.0266 0.312 0.0853
"FBgn0032798" 0.0082 0.2739 0.0299
"FBgn0261570" 0.0101 0.219 0.0461
"FBgn0264495" 0.0161 0.2613 0.0616
"FBgn0023213" 0.0446 0.2501 0.1783
"FBgn0004859" 0.0596 0.2897 0.2057
"FBgn0004198" 0.0354 0.4459 0.0794
"FBgn0003464" 0.0163 0.2558 0.0637
"FBgn0026575" 0.0258 0.182 0.1418
"FBgn0262717" 0.0176 0.2176 0.0809
"FBgn0259226" 0.0104 0.314 0.0331
"FBgn0035689" 0.0505 0.382 0.1322
"FBgn0039207" 0.0261 0.2907 0.0898
"FBgn0050263" 0.0279 0.2537 0.11
"FBgn0002878" 0.0352 0.3084 0.1141
"FBgn0031266" 0.0041 0.287 0.0143
"FBgn0267390" 0.0116 0.1827 0.0635
"FBgn0034985" 0.0189 0.3023 0.0625
"FBgn0030808" 0.0173 0.2776 0.0623
"FBgn0037698" 0.022 0.2718 0.0809
"FBgn0261938" 0.0247 0.2527 0.0977
"FBgn0026181" 0.0058 0.3422 0.0169
"FBgn0021761" 0.0515 0.3075 0.1675
"FBgn0087008" 0.0357 0.2249 0.1587
"FBgn0005631" 0.0089 0.2545 0.035
"FBgn0034087" 0.0248 0.247 0.1004
"FBgn0027620" 0.0335 0.3143 0.1066
"FBgn0261859" 0.0147 0.2837 0.0518
"FBgn0052654" 0.0338 0.2105 0.1606
"FBgn0264975" 0.0494 0.4001 0.1235
"FBgn0027505" 0.0199 0.2905 0.0685
"FBgn0284256" 0.0188 0.3887 0.0484
"FBgn0030747" 0.0176 0.4104 0.0429
"FBgn0029091" 0.0233 0.2704 0.0862
"FBgn0041182" 0.0765 0.367 0.2084
"FBgn0039680" 0.0257 0.3937 0.0653
"FBgn0039182" 0.0291 0.3226 0.0902
"FBgn0004513" 0.0089 0.3796 0.0234
"FBgn0013997" 0.0296 0.3353 0.0883
"FBgn0266672" 0.0145 0.2334 0.0621
"FBgn0030246" 0.0113 0.3029 0.0373
"FBgn0052333" 0.0128 0.3035 0.0422
"FBgn0000547" 0.0067 0.2959 0.0226
"FBgn0035416" 0.0215 0.2465 0.0872
"FBgn0039688" 0.0087 0.244 0.0357
"FBgn0284220" 0.0219 0.346 0.0633
"FBgn0263077" 0.2579 0.384 0.6716
"FBgn0040752" 0.0088 0.1806 0.0487
"FBgn0263109" 0.0721 0.2314 0.3116
"FBgn0021818" 0.0097 0.2708 0.0358
"FBgn0028888" 0.0098 0.2356 0.0416
"FBgn0050460" 0.0456 0.2407 0.1894
"FBgn0031990" 0.057 0.216 0.2639
"FBgn0002441" 0.0728 0.272 0.2676
"FBgn0085428" 0.0107 0.2342 0.0457
"FBgn0264699" 0.1739 0.6889 0.2524
"FBgn0083949" 0.0303 0.2355 0.1287
"FBgn0033075" 0.0314 0.3116 0.1008
"FBgn0028887" 0.0383 0.4369 0.0877
"FBgn0039559" 0.0531 0.3346 0.1587
"FBgn0263316" 0.0199 0.3756 0.053
"FBgn0262029" 0.0204 0.3368 0.0606
"FBgn0260655" 0.0153 0.2753 0.0556
"FBgn0027086" 0.033 0.2916 0.1132
"FBgn0033313" 0.0085 0.2157 0.0394
"FBgn0028863" 0.0049 0.2178 0.0225
"FBgn0264711" 0.014 0.2752 0.0509
"FBgn0030286" 0.0134 0.2964 0.0452
"FBgn0036668" 0.0728 0.3046 0.239
"FBgn0037949" 0.0164 0.2677 0.0613
"FBgn0041723" 0.0125 0.3214 0.0389
"FBgn0034493" 0.0892 0.4887 0.1825
"FBgn0035162" 0.0028 0.4142 0.0068
"FBgn0037336" 0.0155 0.2782 0.0557
"FBgn0039923" 0.1005 0.3084 0.3259
"FBgn0267408" 0.0222 0.3273 0.0678
"FBgn0034612" 0.0129 0.3142 0.0411
"FBgn0035695" 0.0139 0.3336 0.0417
"FBgn0035756" 0.0038 0.2863 0.0133
"FBgn0028974" 0.0833 0.3397 0.2452
"FBgn0034733" 0.0133 0.3075 0.0433
"FBgn0050268" 0.0579 0.4467 0.1296
"FBgn0039645" 0.0105 0.2901 0.0362
"FBgn0016641" 0.015 0.2985 0.0503
"FBgn0027596" 0.0164 0.2305 0.0711
"FBgn0011676" 0.012 0.1929 0.0622
"FBgn0030087" 0.0054 0.2875 0.0188
"FBgn0033352" 0.0246 0.327 0.0752
"FBgn0011829" 0.036 0.2767 0.1301
"FBgn0001250" 0.0154 0.2736 0.0563
"FBgn0261787" 0.0157 0.2288 0.0686
"FBgn0259735" 0.0261 0.1857 0.1405
"FBgn0267489" 0.1196 0.4729 0.2529
"FBgn0000709" 0.0062 0.2669 0.0232
"FBgn0262103" 0.0093 0.2423 0.0384
"FBgn0261556" 0.016 0.2165 0.0739
"FBgn0030735" 0.0215 0.2205 0.0975
"FBgn0032026" 0.0092 0.3307 0.0278
"FBgn0038889" 0.0729 0.3182 0.2291
"FBgn0265778" 0.0088 0.2778 0.0317
"FBgn0085427" 0.0212 0.2391 0.0887
"FBgn0011225" 7e-04 0.2886 0.0024
"FBgn0034728" 0.031 0.3567 0.0869
"FBgn0039157" 0.0067 0.2386 0.0281
"FBgn0040234" 0.0127 0.2941 0.0432
"FBgn0029114" 0.006 0.2488 0.0241
"FBgn0034476" 0.0038 0.283 0.0134
"FBgn0263706" 0.0159 0.286 0.0556
"FBgn0026262" 0.1006 0.2982 0.3374
"FBgn0034106" 0.0277 0.4243 0.0653
"FBgn0261279" 0.0281 0.2347 0.1197
"FBgn0003701" 0.0621 0.3481 0.1784
"FBgn0026577" 0.0662 0.2483 0.2666
"FBgn0041097" 0.0077 0.2612 0.0295
"FBgn0010549" 0.0954 0.3524 0.2707
"FBgn0039026" 0.0182 0.2228 0.0817
"FBgn0035410" 0.0203 0.2475 0.082
